"","STORE_NO","REVENUE_2013","ZIP","SQUARE_FEET","U_CITY","U_STATE","CENSUS_REGION","CENSUS_DIVISION","TOT_ATTRITION_2012","TOT_ATTRITION_2013","NUM_ASSISTANT_MANAGERS","NUM_CUST_ACC_REPS","NUM_STORE_MANAGERS","NUM_EMP_PAY_TYPE_H","AVG_PAY_RATE_PAY_TYPE_S","AVG_PAY_RATE_PAY_TYPE_H","NAT_CURR_ROBBERY","NAT_CURR_BURGLARY","NAT_CURR_MOT_VEH_THEFT","NAT_PAST_ROBBERY","NAT_PAST_BURGLARY","NAT_PAST_MOT_VEH_THEFT","FRONTAGE_ROAD","NUM_PARKING_SPACES","SIGNAGE_VISIBILITY_IND","AUTOZONE_IND","TARGET_IND","WALMART_IND","PAYLESS_IND","COMP_PRESENCE_IND","STRIP_SHOP_CENTER_IND","SINGLE_TENANT_IND","PAD_IN_SHOP_CENTER_IND","MARKETING_EXP_2013","MARKETING_EXP_2012","TOT_NUM_LEADS","NUM_CONVERTED_TO_AGREEMENT","PERC_CONVERTED_TO_AGREEMENT","URBANICITY","CYA01V001","CYB02V001","CYA12V001","CYA12V002","CYA12V003","CYA12V007","CYA12V008","CYA21V001","XCX03V069","PERC_CYEA07V001","PERC_CYEA07V004","PERC_CYEA07V007","PERC_CYEA07V010","PERC_CYB11V006","PERC_CYB11V007","PERC_CYC13VV01","pred_Revenue_2013","diff_Revenue_2013","store_performance"
"1",4,1099857,40216,5221,"LOUISVILLE","KY","South","East South Central",4,4,10,13,1,6,54000,13.536666667,226,462,234,235,388,220,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,4402.46,1037.28,19346,546,0.0734463277,"Suburban",170527,68863,49602,53873,48163,11054,21155,61.69,48.14,0.6159845655,0.3252270901,0.0026388783,0.0151530256,0.0235830562,0.0148265397,0.1137356548,1221619.18216655,-121762.182166554,"LOW"
"2",6,1100407,38128,4000,"MEMPHIS","TN","South","East South Central",3,1,6,14,1,6,49000,10.693333333,520,887,424,527,1007,510,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,993.03,1247.48,12537,544,0.080141426,"Suburban",216028,81167,70813,65616,53227,11428,21317,89.44,61.11,0.3823856167,0.5336993353,0.0024117244,0.0160025552,0.0285214434,0.0259465054,0.1025746662,974088.653589349,126318.346410651,"HIGH"
"3",7,930254,45406,6091,"DAYTON","OH","Midwest","East North Central",2,2,2,14,2,4,46000,11.565,378,719,254,427,820,367,"Yes","Greater than 10","No",0,0,0,0,0,0,0,0,217.07,623.34,13461,395,0.1276252019,"Suburban",107973,46137,34806,31286,26613,7373,12753,50.04,83.8,0.3253591176,0.6329267502,0.0025932409,0.0049086346,0.0202223812,0.0142185231,0.1816287405,786726.541693246,143527.458306754,"HIGH"
"4",8,1544073,43223,9000,"COLUMBUS","OH","Midwest","East North Central",2,0,3,7,2,6,58000,11.46,657,1109,482,761,1127,647,"Yes","Greater than 10","No",0,0,0,0,0,0,0,0,809.45,560.79,13485,668,0.139895288,"Urban",279653,115200,109518,75524,64787,12776,29714,78.77,60.65,0.6591811996,0.2530814974,0.003525798,0.0240869935,0.0218229167,0.0178125,0.0796165248,1270304.43815223,273768.561847768,"HIGH"
"5",10,934672,45356,4160,"PIQUA","OH","Midwest","East North Central",0,3,2,7,3,4,44000,12.1575,35,65,33,59,113,46,"Yes","Greater than 10","Yes",0,0,1,0,1,0,0,0,920.36,362.17,11593,504,0.1762237762,"Emerging suburban",41540,17276,8335,18343,16530,2735,4067,108.59,39.78,0.9142753972,0.0358208955,0.0020702937,0.0163456909,0.0177703172,0.0108821486,0.5784304285,934672.000000007,-6.51925802230835e-09,"LOW"
"6",11,631215,37087,4000,"LEBANON","TN","South","East South Central",2,2,7,5,3,3,50000,11.64,106,287,165,84,264,106,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,3261.67,1181.54,9805,328,0.0381218038,"Emerging suburban",33991,13018,6734,14495,12593,2303,3420,92.7,39.63,0.8284545909,0.1062340031,0.0027654379,0.0107969757,0.0217391304,0.012674758,0.7587596717,526200.728312087,105014.271687913,"HIGH"
"7",12,913399,43614,6000,"TOLEDO","OH","Midwest","East North Central",1,3,3,10,2,4,45000,13.6125,233,658,144,257,468,136,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1771.66,600.73,12368,590,0.0599776355,"Suburban",124706,52884,42137,40344,35546,5387,13576,44.56,61.4,0.6461116546,0.2764582298,0.0035122608,0.0186438503,0.019400953,0.009000832,0.1879620868,857223.355206432,56175.6447935678,"HIGH"
"8",14,692449,14621,4900,"ROCHESTER","NY","Northeast","Middle Atlantic",0,3,2,5,2,4,0,13.96,563,296,430,595,305,317,"Yes","0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)","Yes",0,0,0,0,0,0,0,0,1864.98,829.82,6716,366,0.1040659653,"Urban",201714,84979,80081,50105,40263,10453,18390,33.67,103.37,0.475033959,0.3787540776,0.0048484488,0.0277571215,0.0218406901,0.0162275386,0.0962798814,623814.20940069,68634.7905993098,"HIGH"
"9",18,621707,40213,3400,"LOUISVILLE","KY","South","East South Central",2,4,5,9,3,3,41000,10.933333333,311,790,352,328,669,421,"No","Greater than 10","Yes",0,0,0,0,0,0,0,0,4365.36,1173.68,9359,340,0.0507462687,"Suburban",180947,77174,60982,52489,46258,11290,22095,57.68,46.17,0.6403311467,0.2738923552,0.0032827292,0.0226585685,0.0182963174,0.0127633659,0.1132154719,602397.950031575,19309.0499684248,"HIGH"
"10",20,805241,43224,6750,"COLUMBUS","OH","Midwest","East North Central",4,1,10,9,2,4,46000,11.9725,398,446,280,419,471,286,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,1796.62,1054.05,11601,412,0.1027944112,"Urban",166060,69176,54744,51497,44085,7563,16386,40.18,69.76,0.5066481994,0.4086956522,0.0028122365,0.0202637601,0.0229559385,0.0162050422,0.1299891605,937048.739763294,-131807.739763294,"LOW"
"11",21,1356318,43616,4500,"OREGON","OH","Midwest","East North Central",2,1,5,7,1,5,54000,11.482,184,337,123,224,368,141,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,1346.84,842.08,11561,743,0.0790846195,"Suburban",133077,52561,39174,39916,34389,6623,17748,89.17,58.21,0.6430938479,0.2658010024,0.0047942169,0.0046288991,0.0266737695,0.0170658854,0.1342155294,1356317.99999997,2.74740159511566e-08,"HIGH"
"12",22,682205,14606,4000,"ROCHESTER","NY","Northeast","Middle Atlantic",2,1,4,6,1,4,45000,11.89,618,368,508,595,354,348,"Yes","0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)","Yes",0,0,0,0,1,0,0,0,1433.96,290.86,9206,439,0.0556259503,"Urban",238878,100492,91207,68497,57235,12700,21120,67.17,98.09,0.5594487563,0.3176558745,0.0040941401,0.0362151391,0.019484138,0.0136926322,0.0963169484,889473.143697529,-207268.143697529,"LOW"
"13",26,714838,44128,4400,"CLEVELAND","OH","Midwest","East North Central",0,3,4,8,3,4,41500,10.9825,419,332,270,380,299,204,"Yes","Between 1 and 10","Yes",0,0,0,0,0,0,1,0,1032.01,528.2,9241,369,0.0881931166,"Urban",179693,76868,61886,52022,44728,11317,20165,41.62,93.55,0.2933725855,0.6641883657,0.0017863801,0.0154541357,0.0194098975,0.0123588489,0.1451698174,726299.686379892,-11461.6863798916,"LOW"
"14",27,770448,44109,3000,"CLEVELAND","OH","Midwest","East North Central",0,5,5,9,2,4,43000,10.835,434,337,282,442,424,416,"Yes","Greater than 10","No",0,0,0,0,0,0,0,0,992.07,681.43,11426,443,0.0951460481,"Urban",272793,115421,99093,71589,60828,13536,31970,59.25,64.28,0.5598567412,0.31864454,0.0041203403,0.0215071501,0.0217638038,0.0173105414,0.0650969783,859359.784825526,-88911.7848255263,"LOW"
"15",28,727559,14094,4690,"LOCKPORT","NY","Northeast","Middle Atlantic",1,7,3,9,4,3,45000,11.273333333,89,147,67,105,110,68,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,2547.96,683.48,13402,383,0.0467757694,"Emerging suburban",47166,19744,11954,20013,18175,2329,4328,96.07,61.12,0.8987830217,0.0554636815,0.0045583683,0.007166179,0.0148905997,0.0085089141,0.5238731289,727559.000000034,-3.44589352607727e-08,"LOW"
"16",30,916097,43701,5280,"ZANESVILLE","OH","Midwest","East North Central",0,0,3,8,0,5,48000,12.028,73,218,55,122,273,82,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1421.96,610.27,15080,621,0.0515438247,"Emerging suburban",40330,16316,8855,16356,15106,2585,4438,83.09,37.14,0.8891395983,0.0667493181,0.0034217704,0.0025291346,0.021206178,0.0113998529,0.46260848,974359.349448275,-58262.3494482747,"LOW"
"17",31,932298,14843,3500,"HORNELL","NY","Northeast","Middle Atlantic",2,4,5,10,2,5,48000,12.552,34,43,21,50,62,30,"Yes","Greater than 10","Yes",0,0,1,0,0,0,0,0,920.61,511.1,12081,431,0.1514406184,"Emerging suburban",16383,6781,3538,7406,6721,915,1395,95.54,51.29,0.9575169383,0.0136727095,0.0018311665,0.0061038882,0.0200560389,0.0116501991,1.3749618507,932298.000000007,-6.75208866596222e-09,"LOW"
"18",34,1060000,45504,4200,"SPRINGFIELD","OH","Midwest","East North Central",3,2,3,11,1,5,48000,11.538,205,378,118,261,438,173,"Yes","Greater than 10","No",0,0,0,0,0,0,0,0,1178.77,724.86,13180,638,0.1023419955,"Emerging suburban",74895,30462,19753,26516,23010,4549,9151,77.76,47.17,0.7917885039,0.148461179,0.0030976701,0.007677415,0.0215350272,0.0144113978,0.2883904132,1070495.32948961,-10495.3294896064,"LOW"
"19",35,871023,50316,4070,"DES MOINES","IA","Midwest","West North Central",1,1,2,6,1,4,47000,11.2925,478,302,612,419,323,418,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1415.41,1986.19,12112,453,0.2546374368,"Suburban",164266,64403,40745,64421,57951,7161,16108,119.59,52.57,0.79178284,0.0927032983,0.0043587839,0.038729865,0.0245485459,0.0178718383,0.1508102711,974383.592826066,-103360.592826066,"LOW"
"20",37,656375,38109,4000,"MEMPHIS","TN","South","East South Central",2,0,1,6,2,3,40000,10.366666667,366,773,472,406,802,526,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1001.45,781.02,7874,375,0.0960799385,"Suburban",92325,32715,29655,27162,22059,6597,8499,98.91,73.8,0.1808285946,0.7806011373,0.0025886813,0.0035310046,0.0378419685,0.0320648021,0.1824966152,559772.937967642,96602.0620323583,"HIGH"
