"","CYA21V001","PERC_CYEA07V001","PERC_CYEA07V004","store_performance","TOT_NUM_LEADS","NUM_CONVERTED_TO_AGREEMENT","URBANICITY","NUM_EMP_PAY_TYPE_H","MARKETING_EXP_2012","AVG_PAY_RATE_PAY_TYPE_H","AVG_PAY_RATE_PAY_TYPE_S","FRONTAGE_ROAD","SQUARE_FEET","NUM_CUST_ACC_REPS","TOT_ATTRITION_2013","NUM_STORE_MANAGERS"
"1",61.69,0.6159845655,0.3252270901,"LOW",19346,546,"Suburban",6,1037.28,13.536666667,54000,"Yes",5221,13,4,1
"2",89.44,0.3823856167,0.5336993353,"HIGH",12537,544,"Suburban",6,1247.48,10.693333333,49000,"No",4000,14,1,1
"3",50.04,0.3253591176,0.6329267502,"HIGH",13461,395,"Suburban",4,623.34,11.565,46000,"Yes",6091,14,2,2
"4",78.77,0.6591811996,0.2530814974,"HIGH",13485,668,"Urban",6,560.79,11.46,58000,"Yes",9000,7,0,2
"5",108.59,0.9142753972,0.0358208955,"LOW",11593,504,"Emerging suburban",4,362.17,12.1575,44000,"Yes",4160,7,3,3
"6",92.7,0.8284545909,0.1062340031,"HIGH",9805,328,"Emerging suburban",3,1181.54,11.64,50000,"Yes",4000,5,2,3
"7",44.56,0.6461116546,0.2764582298,"HIGH",12368,590,"Suburban",4,600.73,13.6125,45000,"Yes",6000,10,3,2
"8",33.67,0.475033959,0.3787540776,"HIGH",6716,366,"Urban",4,829.82,13.96,0,"Yes",4900,5,3,2
"9",57.68,0.6403311467,0.2738923552,"HIGH",9359,340,"Suburban",3,1173.68,10.933333333,41000,"No",3400,9,4,3
"10",40.18,0.5066481994,0.4086956522,"LOW",11601,412,"Urban",4,1054.05,11.9725,46000,"Yes",6750,9,1,2
"11",89.17,0.6430938479,0.2658010024,"HIGH",11561,743,"Suburban",5,842.08,11.482,54000,"No",4500,7,1,1
"12",67.17,0.5594487563,0.3176558745,"LOW",9206,439,"Urban",4,290.86,11.89,45000,"Yes",4000,6,1,1
"13",41.62,0.2933725855,0.6641883657,"LOW",9241,369,"Urban",4,528.2,10.9825,41500,"Yes",4400,8,3,3
